"Position","Product Number","Product","Quantity","Percent of Quantity","Sale Amount","Percent of Sale Amount","Cost","Percent of Gross Profit"
297,"","BEARDED LADY 12% C4",3,0,131.97,0,80.01,39
298,"","BUNDY UP & Cola 4.6% C6",3,0,110.97,0,74.02,33
299,"","COOPERS Mild S6",3,0,62.97,0,39.29,38
300,"","CRUISER Lush Guava S4",3,0,65.99,0,45.08,32
301,"","VB C30",3,0,235.97,0,6.67,97
302,"","LLB Schooner",3,0,15,0,0,100
303,"","HEINEKEN Silver S24",3,0,176.97,0,6.96,96
304,"","KIRIN HYOKETSU Lemon C4",3,0,77.99,0,50.68,35
305,"","SMIRNOFF DB Guarana 250ml C4",3,0,98.97,0,70.34,29
306,"","STONE & WOOD Pacific Ale S6",2,0,59.98,0,35.81,40
307,"","COKE 330ml S1",2,0,12,0,3.97,67
308,"","SMIRNOFF Crush Mix C10",2,0,135.98,0,106.37,22
309,"","CHIVAS REGAL nip",2,0,26,0,4.53,83
310,"","GRANTS SCOTCH 700ML",2,0,95.98,0,80.91,16
311,"","REKORD Cider STRAW/LIME 330ML S4",2,0,47.98,0,32.29,33
312,"","WHITE CLAW Raspberry 4.5% C4",2,0,50,0,35.87,28
313,"","HARD RATED ZERO Lemon Lime C24",2,0,249.98,0,7.88,97
314,"","CAN CLUB & Dry 4.8% Zero C10",2,0,113.98,0,78.01,32
315,"","BROOKVALE Vodka Passionfruit C6",2,0,71.98,0,50.33,30
316,"","BOMBAY G&T S4",2,0,59.98,0,42.72,29
317,"","SMIRNOFF CRUSH Mango & Peach Zero C4",2,0,57.98,0,47.07,19
318,"","STELLA ARTOIS S6",2,0,43.98,0,26.1,41
319,"","PEPPERJACK Chardonnay S1",2,0,37.98,0,31.61,17
320,"","CARLTON MID C6",2,0,39.98,0,22.04,45
321,"","SMIRNOFF CRUSH Passion & Guava C4",2,0,57.98,0,47.07,19
322,"","FIFTH LEG Red Blend S1",2,0,31.98,0,17.37,46
323,"","JAMESON Raw & Cola 6.3% C10",2,0,113.98,0,88.17,23
324,"","GAGE ROADS Huey S6",2,0,43.98,0,23.67,46
325,"","MATSOS VDK LEM LME C4",2,0,47.98,0,29.5,39
326,"","EMU BITTER C30",2,0,137.98,0,4.18,97
327,"","FANTA C1",2,0,8,0,2.47,69
328,"","PINEAPPLE JUICE",2,0,0,0,0,0
329,"","JIM BEAM Black Double Serve C10",2,0,143.98,0,100,31
330,"","GOOD TIDES Raspberry C4",2,0,55.98,0,33.94,39
331,"","BUFFALO TRACE Bourbon 700ML",2,0,121.98,0,102.69,16
332,"","CRUISER DBL Lemon Lime 6.8% C4",2,0,61.98,0,40.18,35
333,"","KRAKEN Rum & Cola C4",2,0,61.98,0,42.2,32
334,"","BEEFEATER Pink 700ML",2,0,117.98,0,88.49,25
335,"","JAGERMEISTER 700Ml",2,0,109.98,0,92.27,16
336,"","GRANTS SCOTCH 1L",2,0,155.98,0,110.22,29
337,"","ROB OATLEY SIGN YV Pinot Noir S1",2,0,46.98,0,33.37,29
338,"","CAN CLUB & Dry PREM 6% C6",2,0,85.98,0,57.29,33
339,"","HAHN 3.5 Stubby",2,0,18,0,4.47,75
340,"","CAPT MORGAN Black Spiced nip",2,0,26,0,4.3,83
341,"","HAHN Super Dry C10",2,0,71.98,0,44.43,38
342,"","HARD RATED Zero C4",2,0,53.98,0,31.5,42
343,"","GAGE ROADS Single Fin Stubby",2,0,22,0,5.61,75
344,"","CRUISER SF Pineapple C4",2,0,42,0,30.06,28
345,"","EVANS & TATE Classic SSB S1",2,0,31.98,0,18.2,43
346,"","STELLA ARTOIS S24",2,0,127.98,0,4.35,97
347,"","JACOBS CREEK Reserve Cab Sauv S1",2,0,27,0,19.67,27
348,"","AMBERLEY S/LANE SSB S1",2,0,35.98,0,27.64,23
349,"","SKYY Vodka 1L",2,0,139.98,0,109.18,22
350,"","GREY GOOSE 700ML",2,0,159.98,0,126.92,21
351,"","CAPT MORGAN LONG ICED TEA C4",2,0,57.98,0,39.6,32
352,"","COOPERS Mild C24",2,0,131.98,0,4.37,97
353,"","CRUISER DBL Vanilla Cola 6.8% Can",2,0,30,0,10.04,67
354,"","CAN CLUB & Dry 4.8% S4",2,0,53.98,0,34.62,36
355,"","J/DANIELS Bonded nip",2,0,34,0,6.23,82
356,"","PURE BLONDE Cider S6",2,0,51.98,0,33.7,35
357,"","J/DANIELS American Serve 10% C1",2,0,25.98,0,13.18,49
358,"","HAHN Gluten Free S24",2,0,145.98,0,4.76,97
359,"","BUNDY Up 700ML",2,0,105.98,0,88.02,17
360,"","XXXX Gold MIDDY",2,0,14,0,2.68,81
361,"","WHITE CLAW Variety Pack C10",2,0,113.98,0,75,34
362,"","CRUISER Wild Raspberry Stubby",2,0,20,0,7.51,62
363,"","SIERRA Blanco 1L",2,0,173.98,0,140.68,19
364,"","HEINEKEN 0.0 S6",2,0,41.98,0,22.85,46
365,"","MERCURY Hard Cider C6",2,0,55.98,0,36.4,35
366,"","UDL Lime & Soda C6",2,0,69.98,0,47.08,33
367,"","COOPERS Pale Ale S24",2,0,145.98,0,5.37,96
368,"","BOMBAY SAPPHIRE nip",2,0,26,0,4.98,81
369,"","BETTER BEER C10",2,0,69.98,0,4.52,94
370,"","KIRKS Ginger Ale btl 1.25L S1",2,0,13,0,5.27,60
371,"","VASSE FELIX Classic Dry White S1",2,0,41.98,0,24.95,41
372,"","HAHN Gluten Free S6",2,0,45.98,0,28.56,38
373,"","BLACK DOUGLAS nip",2,0,26,0,3.85,85
374,"","JIM BEAM Black Double Serve C4",2,0,69.98,0,47.04,33
375,"","HAHN 3.5 JUG",2,0,44,0,17.86,59
376,"","Pineapple Juice Pint",2,0,12,0,0,100
377,"","SWAN Draught C6",2,0,49.98,0,29.82,40
378,"","HEINEKEN 0.0 S1",2,0,9.98,0,3.51,65
379,"","MILLERS Chill Lime S24",2,0,121.98,0,5.17,96
380,"","BEARDED LADY Bourbon 700ML",2,0,111.98,0,85.57,24
381,"","CARLTON DRAUGHT S24",2,0,145.98,0,5.56,96
382,"","IRON JACK MID C30",2,0,139.98,0,4.76,97
383,"","STRONGBOW Low Carb S24",2,0,117.98,0,4.33,96
384,"","WHITE CLAW Watermelon 4.5% C4",2,0,55.98,0,35.87,36
385,"","MOUNTAIN GOAT Lager C1",2,0,11.98,0,4.63,61
386,"","PIRATE LIFE South Coast Pale Ale C4",2,0,41.98,0,27.52,34
387,"","JAMESON Dry & Lime 6.3% C4",2,0,59.98,0,42.23,30
388,"","CAPT MORGAN Spiced Gold 1L",2,0,145.98,0,118.56,19
389,"","CRUISER DBL Passionfruit 6.8% C1",2,0,18,0,10.12,44
390,"","CAN CLUB nip",2,0,26,0,3.67,86
391,"","WILD TURKEY & Cola 4.8% C1",2,0,21.98,0,10.23,53
392,"","BUNDY UP & Cola 4.6% C24 CUBE",2,0,225.98,0,7.7,97
393,"","CORONA S6",2,0,55.98,0,70.34,-26
394,"","KRAKEN RUM 700ML",2,0,149.98,0,109,27
395,"","XXXX Gold JUG",2,0,44,0,15.94,64
396,"","SMIRNOFF CRUSH Lemon & Lime C4",2,0,57.98,0,47.07,19
397,"","SMIRNOFF DB Zero 6.5% 375ml C1",2,0,14.99,0,9.81,35
398,"","J/WALKER & Cola 4.6% C6",2,0,73.98,0,49.34,33
399,"","WOLF BLASS Red Label SSB S1",2,0,15.98,0,13.13,18
400,"","CARLTON DRY 3.5 S24",2,0,125.98,0,4.18,97
401,"","MAKERS MARK 700Ml",2,0,145.98,0,111.5,24
402,"","GREAT NORTHERN 3.5 C10",1,0,31.99,0,21.25,34
403,"","WYNNS Coonawarra Siding Cab Sauv S1",1,0,20.99,0,13.39,36
404,"","LLB Middy",1,0,4,0,0,100
405,"","COOPERS Sparkling C24",1,0,75.99,0,2.56,97
406,"","BUNDY UP & Cola 4.6% S6",1,0,35.99,0,25.25,30
407,"","GAGE ROADS Single Fin C6",1,0,24.99,0,16.83,33
408,"","BROOKVALE Ginger Beer 330ML C6",1,0,30.99,0,25.16,19
409,"","SOMERSBY Cider Crisp Apple Stubby",1,0,10,0,2.74,73
410,"","19 CRIMES Snoop Cali Red S1",1,0,19.99,0,11.57,42
411,"","SAPPORO S6",1,0,20.99,0,13.52,36
412,"","WHITE CLAW Watermelon 4.5% Can",1,0,15,0,4.05,73
413,"","ASAHI SD 5% C10",1,0,32,0,24.26,24
414,"","COKE Zero C1",1,0,4,0,1.23,69
415,"","FIREBALL 700ML",1,0,61.99,0,42.81,31
416,"","WILD TURKEY & Cola 4.8% Can",1,0,13,0,5.16,60
417,"","MOTHER 500ml C1",1,0,6,0,2.25,63
418,"","XXXX ULTRA S6",1,0,19.99,0,10.9,45
419,"","Little Creatures CASCAD NIGHTS C4",1,0,23.99,0,15.05,37
420,"","TAYLORS EST Shiraz S1",1,0,20.99,0,12.28,41
421,"","J/SQUIRE Spiced Rum & G/Beer C4",1,0,28.99,0,17.33,40
422,"","WILD TURKEY & Cola 4.8% C4",1,0,30.99,0,15.44,50
423,"","KRAKEN RUM 1L",1,0,105.99,0,76.93,27
424,"","19 CRIMES Snoop Cali Rose S1",1,0,19.99,0,11.57,42
425,"","KIRIN ICHIBAN S6",1,0,26.99,0,16.17,40
426,"","HARD RATED Zero C24",1,0,124.99,0,3.94,97
427,"","DIMPLE 12YO 700ML",1,0,66.99,0,50.42,25
428,"","BOMBAY G&T Double Serve 10% C4",1,0,43.99,0,26.01,41
429,"","PETER LEHMANN Cab Sauv S1",1,0,25.99,0,15.48,40
430,"","TAYLORS Promised Land Cab Sauv S1",1,0,20.99,0,9.45,55
431,"","MILLERS Draft S24",1,0,60.99,0,2.43,96
432,"","BUNDABERG Ginger beer S4",1,0,12,0,6.59,45
433,"","CRUISER Wild Raspberry S24",1,0,113.99,0,3.76,97
434,"","J/SQUIRE Ginger Beer MIDDY",1,0,9.5,0,2.42,74
435,"","BALTER CERVEZA S6",1,0,20.99,0,12.73,39
436,"","J/SQUIRE Dbl Ginger Beer 6% C4",1,0,29.99,0,18.2,39
437,"","PERONI NASTRO S24",1,0,72.99,0,2.95,96
438,"","150 Lashes JUG",1,0,28,0,12.26,56
439,"","BULLEIT & Cola 6% C4",1,0,29.99,0,20,33
440,"","GORDONS Lemon nip",1,0,12.5,0,2,84
441,"","SMITHBROOK White Blend S1",1,0,15.99,0,10.25,36
442,"","HARD RATED Orange C1",1,0,8.99,0,2,78
443,"","HAHN 3.5 MIDDY",1,0,7,0,1.5,79
444,"","TRAVLA C6",1,0,23.99,0,15.54,35
445,"","GAGE ROADS Side Track C6",1,0,28.99,0,16.83,42
446,"","WALKING BIRDS Sauv Blanc S1",1,0,15.99,0,7.2,55
447,"","JIM BEAM & Cola 4.8% Zero C6",1,0,35.99,0,3.99,89
448,"","BULLEIT Bourbon 700Ml",1,0,67.99,0,54.45,20
449,"","CRUISER DBL Raspberry 6.8% C24",1,0,144.99,0,5.02,97
450,"","TAYLORS Jaraman Pinot Noir S1",1,0,35.99,0,19.8,45
451,"","VASSE FELIX Classic Dry Red S1",1,0,20.99,0,13.06,38
452,"","BALLANTINES 700ML",1,0,56.99,0,42.83,25
453,"","VB C10",1,0,35.99,0,23.37,35
454,"","JIM BEAM Rye 40% 700ML",1,0,65.99,0,52.9,20
455,"","J/DANIELS & Cola S4",1,0,29.99,0,18.92,37
456,"","PEPPERJACK Red Blend S1",1,0,18.99,0,14.74,22
457,"","GALLIANO Vanilla 700ML",1,0,64.99,0,54.47,16
458,"","HARD RATED C1",1,0,8.99,0,3.92,56
459,"","CAPT MORGAN Spiced Gold 700Ml",1,0,48.99,0,43.74,11
460,"","SKREWBALL P/BUTTER WHISKY 750ML",1,0,65.99,0,46.13,30
461,"","PERONI NASTRO 3.5 S24",1,0,66.99,0,2.15,97
462,"","VASSE FELIX Chardonnay S1",1,0,39.99,0,15.65,61
463,"","J/DANIELS & Cola 4.8% C20",1,0,115.99,0,4.51,96
464,"","WILD TURKEY 101 700ML",1,0,78.99,0,62.88,20
465,"","COOPERS Mild S24",1,0,65.99,0,2.18,97
466,"","JACOBS CREEK Moscato S1",1,0,9.99,0,6.46,35
467,"","BABBLING BROOK Sauv Blanc S1",1,0,16.99,0,8.97,47
468,"","150 Lashes SCHOONER",1,0,12,0,3.07,74
469,"","IRON JACK MID C6",1,0,20.99,0,14.29,32
470,"","STRONGBOW Original S6",1,0,19.99,0,12.69,37
471,"","CRUISER Sour Grape S24",1,0,113.99,0,3.76,97
472,"","WOODFORD Reserve Bourbon 700ML",1,0,76.99,0,59.43,23
473,"","FERAL BIGGIE JUICE IPA 375Ml C4",1,0,28.99,0,17.09,41
474,"","GREAT NORTHERN Original C6",1,0,22.99,0,13.75,40
475,"","FIFTH LEG Shiraz S1",1,0,15.99,0,8.69,46
476,"","JAMESON IRISH WHISKY 700ML",1,0,65.99,0,48.61,26
477,"","BUNDY Campfire 6% C1",1,0,9.99,0,4.44,56
478,"","HAHN Ultra Low Carb S6",1,0,23.99,0,13.61,43
479,"","JACOBS CREEK Shiraz S1",1,0,9.99,0,6.46,35
480,"","SOMERSBY Cider Apple S6",1,0,26.99,0,17.65,35
481,"","GRANT BURGE Prosecco S1",1,0,23.99,0,12.89,46
482,"","BUNDY Red & Cola C6",1,0,36.99,0,24.67,33
483,"","SWAN Draught C24",1,0,74.99,0,2.55,97
484,"","OYSTER BAY Chardonnay S1",1,0,18.99,0,13.6,28
485,"","MAGNERS Cider 330ML S4",1,0,20.99,0,9.9,53
486,"","BUDWEISER S24",1,0,76.99,0,2.47,97
487,"","19 CRIMES Cab Sauv S1",1,0,15.99,0,7.82,51
488,"","Heineken SCHOONER",1,0,12,0,3.26,73
489,"","HAHN Super Dry S6",1,0,24.99,0,14.78,41
490,"","19 CRIMES Pinot Noir S1",1,0,15.99,0,7.82,51
491,"","BELVEDERE Vodka 700ML",1,0,79.99,0,61.56,23
492,"","SUNTORY 196 Lemon 6% C10",1,0,51.99,0,39.72,24
493,"","MATSOS Ginger Beer S6",1,0,31.99,0,20.47,36
494,"","TOOHEYS Extra Dry S24",1,0,65.99,0,2.36,96
495,"","J/WALKER Black 1L",1,0,93.99,0,72.91,22
496,"","CHIVAS REGAL 12YO 1L",1,0,83.99,0,75.59,10
497,"","SMIRNOFF CRUSH Orange & Pineapple Can",1,0,14,0,4.63,67
498,"","CRUISER DBL Guava 6.8% Can",1,0,15,0,5.02,67
499,"","J/SQUIRE Ginger Beer C24",1,0,98.99,0,3.5,96
500,"","PERONI NASTRO STUBBY",1,0,11,0,2.95,73
501,"","JIM BEAM & Cola 4.8% Zero C10",1,0,45.99,0,37.99,17
502,"","BAILEYS 1L",1,0,59.99,0,45.58,24
503,"","MIDORI 1L",1,0,68.99,0,56.59,18
504,"","VB S24",1,0,65.99,0,2.69,96
505,"","J/DANIELS & Lemonade C4",1,0,28.99,0,19.67,32
506,"","FERAL BIGGIE JUICE IPA Can",1,0,12,0,4.27,64
507,"","J/DANIELS Apple 700ML",1,0,63.99,0,44.65,30
508,"","JACOBS CREEK Reserve Chardonnay S1",1,0,16.99,0,9.48,44
509,"","GAGE ROADS Single Fin S24",1,0,72.99,0,2.81,96
510,"","BUNDY & Cola Zero 4.6% C1",1,0,7.99,0,4.12,48
511,"","J/SQUIRE Ginger Beer Low Sugar C6",1,0,32.99,0,19.87,40
512,"","SMIRNOFF DB Guarana 250ml C1",1,0,9,0,5.87,35
513,"","UDL SF Mixed Berry C6",1,0,34.99,0,23.54,33
514,"","DE BORTOLI Prosecco Rose S1",1,0,15.99,0,11.78,26
515,"","J/SQUIRE Orchard Crush Stubby",1,0,11,0,4.09,63
516,"","WILD TURKEY & Cola 101 ZERO C1",1,0,10,0,5.76,42
517,"","GORDONS Pink Gin S4",1,0,29.99,0,18.56,38
518,"","BROOKVALE Lem/Lime & Bitters C6",1,0,35.99,0,25.16,30
519,"","JIM BEAM Black E/Aged 700Ml",1,0,67.99,0,44.85,34
520,"","DE BORTOLI W/Peak Pinot Noir S1",1,0,15.99,0,9.45,41
521,"","SAILOR JERRY 700ML",1,0,60.99,0,42.48,30
522,"","ABSOLUT Citron 700ML",1,0,52.99,0,43.82,17
523,"","BUNDY Red & Cola C10",1,0,51.99,0,40.81,21
524,"","YELLOWTAIL Bubbles 750ml S1",1,0,11.99,0,7.24,40
525,"","TAYLORS EST Chardonnay S1",1,0,20.99,0,13.4,36
526,"","Little Creatures ROGERS 330ML S24",1,0,77.99,0,2.59,97
527,"","JIM BEAM & Cola 4.8% CUBE C24",1,0,108.99,0,3.65,97
528,"","JAMESON Dry & Lime 6.3% C1",1,0,9,0,4.82,46
529,"","BULLEIT & Cola 6% C10",1,0,61.99,0,46.85,24
530,"","TAYLORS Promised Land Merlot S1",1,0,20.99,0,9.45,55
531,"","BEACH DAYS Cab Merlot S1",1,0,6.99,0,3.48,50
532,"","KILARNI Barossa Shiraz S1",1,0,16,0,9.26,42
533,"","SUNTORY 196 Grape 6% C4",1,0,28.99,0,18.68,36
534,"","MATSOS Mango S6",1,0,27.99,0,18.05,36
535,"","GREAT NORTHERN Ginger Beer 375ML C24",1,0,109.99,0,3.64,97
536,"","WILD TURKEY & Cola 4.8% C10",1,0,53.99,0,39.28,27
537,"","COUGAR 700ML",1,0,55.99,0,45.77,18
538,"","MALIBU 1L",1,0,50.99,0,44.34,13
539,"","Apple Juice Pint",1,0,6,0,0,100
540,"","COOPERS XPA C6",1,0,26.99,0,16.47,39
541,"","CRUISER Bold Berry Stubby",1,0,13,0,3.76,71
542,"","SHEEP DOG P/BUTTER WHISKY 700ML",1,0,63.99,0,45.78,28
543,"","Little Creatures JUICY XPA C4",1,0,22.99,0,12.92,44
544,"","BUNDY OP & Cola 6% Can",1,0,16,0,5.07,68
545,"","COOPERS STOUT S6",1,0,24.99,0,18.6,26
546,"","GENTLEMAN JACK 1L",1,0,111.99,0,78.87,30
547,"","UDL Orange C6",1,0,34.99,0,23.54,33
548,"","J/SQUIRE Orchard Crush S6",1,0,29.99,0,17.88,40
549,"","COOPERS Pale Ale C24",1,0,72.99,0,2.19,97
550,"","BEACH DAYS Moscato S1",1,0,6.99,0,3.48,50
551,"","GAGE ROADS Side Track C24",1,0,84.99,0,2.81,97
552,"","CAPT MORGAN & Cola 6% C1",1,0,9.99,0,4.92,51
553,"","Mt FRANKLIN 600ml S1",1,0,4,0,0.79,80
554,"","CAN CLUB & Dry PREM 6% C10",1,0,65.99,0,44.32,33
555,"","19 CRIMES Snoop Cali Gold Sparkling S1",1,0,19.99,0,11.57,42
556,"","CAN CLUB & Lemon Crush 4.8% C10",1,0,50.99,0,19.47,62
557,"","TAYLORS EST Cab Sauv S1",1,0,16.99,0,12.28,28
558,"","J/WALKER & Cola 4.6% C10",1,0,69.99,0,41.34,41
559,"","KIRIN HYOKETSU Peach C4",1,0,25,0,16.89,32
560,"","KRAKEN Rum & Dry C4",1,0,30.99,0,21.1,32
561,"","KIRIN HYOKETSU Pineapple C4",1,0,25,0,16.89,32
562,"","STRONGBOW Sweet S24",1,0,58.99,0,2.16,96
563,"","WILD TURKEY & Cola 101 ZERO C4",1,0,33.99,0,24.19,29
564,"","FANTA 1.25L S1",1,0,6.5,0,2.63,60
565,"","SAILOR JERRY nip",1,0,13,0,2.07,84
566,"","JAMESON Raw & Cola 6.3% C4",1,0,29.99,0,21.12,30
567,"","XXXX ULTRA C6",1,0,19.99,0,10.9,45
568,"","CAN CLUB 700ML",1,0,49.99,0,43.19,14
569,"","J/WALKER Black & Cola 6% C10",1,0,68.99,0,50.5,27
570,"","GRANT BURGE 51 Cab Shiraz S1",1,0,15.99,0,8.85,45
571,"","MOUNTAIN GOAT Lager C6",1,0,24.99,0,14.75,41
572,"","JIM BEAM & Cola 4.8% C6",1,0,37.99,0,23.92,37
573,"","BUNDY OP & Cola 6% C10",1,0,59.99,0,43.43,28
574,"","COOPERS XPA C24",1,0,79.99,0,2.75,97
575,"","J/SQUIRE 150 Lashes S6",1,0,24.99,0,14.84,41
576,"","CRUISER Sour Grape S4",1,0,23.99,0,15.03,37
577,"","PETER LEHMANN Shiraz S1",1,0,25.99,0,15.48,40
578,"","HARD RATED C24",1,0,124.99,0,3.94,97
579,"","HARD RATED Orange C10",1,0,49.99,0,19.18,62
580,"","CARLSBERG S6",1,0,20.99,0,15.26,27
581,"","HARD RATED Orange C4",1,0,25.99,0,15.75,39
582,"","Little Creatures PALE ALE C4",1,0,22.99,0,14.76,36
583,"","LINDEMAN'S E/Harvest Chardonnay S1",1,0,16.99,0,10.19,40
584,"","CAN CLUB & Dry 4.8% C1",1,0,7,0,4.25,39
585,"","CAPT MORGAN & Cola 8% C4",1,0,32.99,0,20.74,37
586,"","CARLTON DRY S1",1,0,5.99,0,2.32,61
587,"","JIM BEAM & Cola 4.8% C24",1,0,117.99,0,3.99,97
588,"","CRUISER SF Mixed C10",0,0,0,0,0,0
